"UniversityName","FinancialAid","Tuition","AdmissionRate","ApplicationFee"
"Dixie State University","","5253 in-state and 15051 out-of-state ","100","35"
"Doane University","26137","33800 in-state and 33800 out-of-state ","65","0"
"Dodge City Community College","","2840 in-state and 3680 out-of-state ","","0"
"Dominican College of Blauvelt","26111","29000 in-state and 29000 out-of-state ","69","35"
"Dominican University","25099","33434 in-state and 33434 out-of-state ","65","25"
"Dominican University of California","30693","45850 in-state and 45850 out-of-state ","76","0"
"Dona Ana Community College of New Mexico State University","","1776 in-state and 5664 out-of-state ","","20"
"Donnelly College","7434","9000 in-state and 9000 out-of-state ","100","0"
"Dordt College","26643","30870 in-state and 30870 out-of-state ","","0"
"Douglas Education Center",""," in-state  out-of-state ","","50"
"Drake University","29236","41396 in-state and 41396 out-of-state ","69","0"
"Drew University","44763","39500 in-state and 39500 out-of-state ","63","40"
"Drexel University","42948","53279 in-state and 53279 out-of-state ","79","50"
"Drury University","21933","28365 in-state and 28365 out-of-state ","72","0"
"DuBois Business College",""," in-state  out-of-state ","","25"
"Duke University","53831","55695 in-state and 55695 out-of-state ","","85"
"Dunlap-Stone University",""," in-state  out-of-state ","","50"
"Dunwoody College of Technology","9284"," in-state  out-of-state ","63","50"
"Duquesne University","25928","38178 in-state and 38178 out-of-state ","72","50"
"Durham Technical Community College","","2372 in-state and 8132 out-of-state ","","0"
"Dutchess Community College","","4404 in-state and 8268 out-of-state ","","0"
"D'Youville College","18923","26750 in-state and 26750 out-of-state ","97","0"
"Eagle Gate College: Murray",""," in-state  out-of-state ","","0"
"Earlham College","41892","46450 in-state and 46450 out-of-state ","54","0"
"East Arkansas Community College","","2880 in-state and 3720 out-of-state ","","0"
"East Carolina University","9640","7188 in-state and 23465 out-of-state ","79","75"
"East Central College","","3240 in-state and 6120 out-of-state ","","0"
"East Central Community College","","2870 in-state and 4970 out-of-state ","","0"
"East Central University","5792","6810 in-state and 17700 out-of-state ","48","20"
"East Georgia State College","","3666 in-state and 11412 out-of-state ","","20"
"East Los Angeles College","","1404 in-state and 8934 out-of-state ","","0"
"East Mississippi Community College","","3440 in-state and 6440 out-of-state ","","0"
"East Stroudsburg University of Pennsylvania","8679","11084 in-state and 23516 out-of-state ","79","25"
"East Tennessee State University","","9277 in-state and 28459 out-of-state ","85","25"
"East Texas Baptist University","19612","26370 in-state and 26370 out-of-state ","54","25"
"Eastern Arizona College","6985","2700 in-state and 8700 out-of-state ","100","0"
"Eastern Connecticut State University","","11356 in-state and 22596 out-of-state ","63","50"
"Eastern Florida State College","","3140 in-state and 12193 out-of-state ","100","30"
"Eastern Gateway Community College","","4040 in-state and 7280 out-of-state ","","20"
"Eastern Illinois University","10546","11803 in-state and 14023 out-of-state ","","30"
"Eastern International College","19800","9000 in-state and 9000 out-of-state ","","0"
"Eastern Maine Community College","","3816 in-state and 6636 out-of-state ","","20"
"Eastern Mennonite University","33055","37100 in-state and 37100 out-of-state ","54","25"
"Eastern Michigan University","10667","13959 in-state and 13959 out-of-state ","73","35"
"Eastern Nazarene College","25627","25598 in-state and 25598 out-of-state ","68","0"
"Eastern New Mexico University","","6206 in-state and 8128 out-of-state ","60","0"
"Eastern New Mexico University: Roswell","","2256 in-state and 5616 out-of-state ","100","0"
"Eastern Oklahoma State College","5715","4697 in-state and 8314 out-of-state ","","15"
"Eastern Oregon University","10515","8679 in-state and 20739 out-of-state ","98","50"
"Eastern Shore Community College","","4800 in-state and 10728 out-of-state ","","0"
"Eastern University","25020","33122 in-state and 33122 out-of-state ","69","35"
"Eastern Washington University","12429","7323 in-state and 24444 out-of-state ","96","50"
"Eastern West Virginia Community and Technical College","","5160 in-state and 8651 out-of-state ","","0"
"Eastern Wyoming College","","3096 in-state and 7608 out-of-state ","","0"
"Eastfield College","","1770 in-state and 5220 out-of-state ","100","0"
"Eastman School of Music of the University of Rochester","36136","54584 in-state and 54584 out-of-state ","33","125"
"East-West University","","20970 in-state and 20970 out-of-state ","","50"
"Eastwick College","","15881 in-state and 15881 out-of-state ","","100"
"Eastwick College: Hackensack","","14832 in-state and 14832 out-of-state ","","25"
"Ecclesia College","","15140 in-state and 15140 out-of-state ","","35"
"Eckerd College","35564","44540 in-state and 44540 out-of-state ","73","40"
"ECPI University","","16764 in-state and 16764 out-of-state ","","45"
"Edgecombe Community College","","2757 in-state and 8901 out-of-state ","","0"
"Edgewood College","22039","29500 in-state and 29500 out-of-state ","71","30"
"EDIC College","6220","7065 in-state and 7065 out-of-state ","","25"
"Edinboro University of Pennsylvania","9069","10543 in-state and 15062 out-of-state ","","30"
"Edison State Community College","5154","4699 in-state and 8608 out-of-state ","100","0"
"Edmonds Community College","","4471 in-state and 4471 out-of-state ","","32"
"EDP University of Puerto Rico: Hato Rey","5594"," in-state  out-of-state ","84","15"
"Edward Waters College","","13725 in-state and 13725 out-of-state ","60","25"
"El Camino College","","1419 in-state and 9519 out-of-state ","","0"
"El Centro College","","1770 in-state and 5220 out-of-state ","","0"
"El Paso Community College","","3540 in-state and 6060 out-of-state ","","0"
"Elgin Community College","","3972 in-state and 14946 out-of-state ","","0"
"Elizabeth City State University","","3194 in-state and 7194 out-of-state ","61","30"
"Elizabethtown College","34258","46940 in-state and 46940 out-of-state ","74","30"
"Elizabethtown Community and Technical College","","5310 in-state and 18000 out-of-state ","","0"
"Elmhurst College","27823","37055 in-state and 37055 out-of-state ","71","0"
"Elmira Business Institute","","14850 in-state and 14850 out-of-state ","","0"
"Elmira College","","41900 in-state and 41900 out-of-state ","85","0"
"Elon University","19885","35319 in-state and 35319 out-of-state ","67","50"
"Embry-Riddle Aeronautical University: Daytona Beach Campus","18189","35814 in-state and 35814 out-of-state ","75","50"
"Emerson College","25664","46852 in-state and 46852 out-of-state ","46","65"
"Emmanuel College","29383","39804 in-state and 39804 out-of-state ","73","60"
"Emmaus Bible College","17223","18400 in-state and 18400 out-of-state ","58","0"
"Emory &amp; Henry College","33682","35135 in-state and 35135 out-of-state ","72","0"
"Emory University","44118","51306 in-state and 51306 out-of-state ","22","75"
"Empire College","","11988 in-state and 11988 out-of-state ","","150"
"Emporia State University","8956","6758 in-state and 20675 out-of-state ","83","30"
"Endicott College","21066","33050 in-state and 33050 out-of-state ","81","50"
"Enterprise State Community College","","4500 in-state and 8130 out-of-state ","","0"
"Erie Community College","","5686 in-state and 10586 out-of-state ","75","25"
"Essex County College","3363","4995 in-state and 8790 out-of-state ","","25"
"ETI Technical College of Niles","9275","10653 in-state and 10653 out-of-state ","","50"
"Eureka College","17273","25390 in-state and 25390 out-of-state ","62","0"
"Evangel University","18494","23296 in-state and 23296 out-of-state ","94","0"
"Everett Community College","","4417 in-state and 4417 out-of-state ","","0"
"Everglades University","","17145 in-state and 17145 out-of-state ","74","50"
"Evergreen State College","10879","7949 in-state and 26459 out-of-state ","96","50"
"Evergreen Valley College","","1416 in-state and 8526 out-of-state ","","0"
"Excelsior College",""," in-state  out-of-state ","","50"
"Ex'pression College",""," in-state  out-of-state ","","60"
"Fairfield University","34178","48350 in-state and 48350 out-of-state ","61","60"
"Fairleigh Dickinson University: Metropolitan Campus","40106","40236 in-state and 40236 out-of-state ","88","40"
"Fairmont State University","8592","7514 in-state and 16324 out-of-state ","","25"
"Faith Baptist Bible College and Theological Seminary","","16876 in-state and 16876 out-of-state ","","45"
"Fashion Institute of Design and Merchandising: Los Angeles","","32790 in-state and 32790 out-of-state ","39","225"
"Fashion Institute of Design and Merchandising: San Diego","","32790 in-state and 32790 out-of-state ","45","225"
"Fashion Institute of Design and Merchandising: San Francisco","","32790 in-state and 32790 out-of-state ","37","225"
"Fashion Institute of Technology","10679","5740 in-state and 15520 out-of-state ","47","50"
"Fayetteville State University","12535","4915 in-state and 16523 out-of-state ","67","40"
"Feather River College","","1461 in-state and 8511 out-of-state ","","0"
"Felician University","30379","34315 in-state and 34315 out-of-state ","79","30"
"Ferris State University","13160","12630 in-state and 12630 out-of-state ","74","0"
"Ferrum College","","34175 in-state and 34175 out-of-state ","","25"
"Fiath International University","","7650 in-state and 7650 out-of-state ","","40"
"Finger Lakes Community College","","5158 in-state and 7450 out-of-state ","91","20"
"Finlandia University","","22758 in-state and 22758 out-of-state ","38","0"
"Fisher College","27235","31384 in-state and 31384 out-of-state ","66","50"
"Fisk University","","","","50"
"Fitchburg State University","10177","10355 in-state and 16435 out-of-state ","","50"
"Five Towns College","16279","21640 in-state and 21640 out-of-state ","91","35"
"Flagler College","13239","18950 in-state and 18950 out-of-state ","57","50"
"Flathead Valley Community College","","4638 in-state and 11778 out-of-state ","","15"
"Florida Atlantic University","13295","6039 in-state and 21595 out-of-state ","60","30"
"Florida Career College: Hialeah",""," in-state  out-of-state ","","100"
"Florida Career College: Miami",""," in-state  out-of-state ","","100"
"Florida Career College: West Palm Beach",""," in-state  out-of-state ","","100"
"Florida College of Natural Health: Bradenton",""," in-state  out-of-state ","","50"
"Florida College of Natural Health: Maitland",""," in-state  out-of-state ","","0"
"Florida College of Natural Health: Miami",""," in-state  out-of-state ","","0"
"Florida College of Natural Health: Pompano Beach",""," in-state  out-of-state ","","0"
"Florida Gateway College","","3100 in-state and 11747 out-of-state ","","0"
"Florida Gulf Coast University","9419","6118 in-state and 25162 out-of-state ","64","30"
"Florida Institute of Technology","38128","41850 in-state and 41850 out-of-state ","63","0"
"Florida International University","7826","6558 in-state and 18956 out-of-state ","51","30"
"Florida Keys Community College","","3277 in-state and 13162 out-of-state ","","30"
"Florida Memorial University","","15536 in-state and 15536 out-of-state ","","50"
"Florida National University","","13800 in-state and 13800 out-of-state ","95","0"
"Florida Southern College","29865","36348 in-state and 36348 out-of-state ","51","0"
"Florida State College at Jacksonville","","3146 in-state and 12038 out-of-state ","","25"
"Florida State University","14486","6516 in-state and 21683 out-of-state ","49","30"
"Florida Technical College: Orlando",""," in-state  out-of-state ","","25"
"Folsom Lake College","","1450 in-state and 9580 out-of-state ","","0"
"Fond du Lac Tribal and Community College","","5258 in-state and 5258 out-of-state ","","20"
"Foothill College","","1499 in-state and 9419 out-of-state ","","0"
"Fordham University","36410","52687 in-state and 52687 out-of-state ","46","70"
"Forrest College","","","70","25"
"Forsyth Technical Community College","7013","2446 in-state and 8206 out-of-state ","","0"
"Fort Hays State University","7296","5133 in-state and 15201 out-of-state ","89","30"
"Fort Myers Technical College","","","","25"
"Fort Peck Community College","","2520 in-state and 2520 out-of-state ","","15"
"Fort Valley State University","","6664 in-state and 19740 out-of-state ","","20"
"Fortis College: Centerville",""," in-state  out-of-state ","","100"
"Fortis College: Cuyahoga",""," in-state  out-of-state ","","55"
"Fortis College: Indianapolis",""," in-state  out-of-state ","","25"
"Fortis College: Orange Park",""," in-state  out-of-state ","","67"
"Fortis Institute: Forty Fort",""," in-state  out-of-state ","","25"
"Fountainhead College of Technology","","14750 in-state and 14750 out-of-state ","","100"
"Fox Valley Technical College","","4565 in-state and 6578 out-of-state ","","30"
"Framingham State University","9900","10335 in-state and 16415 out-of-state ","68","50"
"Franciscan University of Steubenville","16377","27630 in-state and 27630 out-of-state ","","20"
"Frank Phillips College","","2838 in-state and 3850 out-of-state ","","0"
"Franklin College","22156","32010 in-state and 32010 out-of-state ","62","40"
"Franklin Pierce University","26482","36900 in-state and 36900 out-of-state ","76","0"
"Franklin University","","15805 in-state and 15805 out-of-state ","","0"
"Franklin W. Olin College of Engineering","","","13","85"
"Frederick Community College","","4457 in-state and 11627 out-of-state ","","0"
"Fremont College","","36400 in-state and 36400 out-of-state ","","25"
"Fresno City College","","1420 in-state and 9160 out-of-state ","","0"
"Friends University","18019","28415 in-state and 28415 out-of-state ","","0"
"Front Range Community College","","3986 in-state and 15074 out-of-state ","100","0"
"Frostburg State University","","9172 in-state and 22892 out-of-state ","72","45"
"Full Sail University",""," in-state  out-of-state ","","75"
"Fullerton College","","1445 in-state and 9185 out-of-state ","","0"
"Fulton-Montgomery Community College","","5460 in-state and 10060 out-of-state ","","0"
"Furman University","","","61","50"
"Gadsden State Community College","","4800 in-state and 8430 out-of-state ","39","0"
"Gallaudet University","23179","17038 in-state and 17038 out-of-state ","59","50"
"Galveston College","","2050 in-state and 4600 out-of-state ","","30"
"Gannon University","26530","32136 in-state and 32136 out-of-state ","80","25"
"Garden City Community College","","3120 in-state and 3690 out-of-state ","","0"
"Gardner-Webb University","","","","0"
"Garrett College","7618","4380 in-state and 9870 out-of-state ","","0"
"Gaston College","","2386 in-state and 8146 out-of-state ","","0"
"Gateway Community College","","4404 in-state and 13644 out-of-state ","","20"
"Gateway Technical College","","4026 in-state and 6039 out-of-state ","","30"
"Gavilan College","","1418 in-state and 8408 out-of-state ","","0"
"Genesee Community College","6325","4640 in-state and 5240 out-of-state ","70","0"
"Geneva College","","","69","40"
"George C. Wallace Community College at Dothan","","4680 in-state and 8550 out-of-state ","100","0"
"George Fox University","24260","36020 in-state and 36020 out-of-state ","82","40"
"George Mason University","14717","12462 in-state and 35922 out-of-state ","81","70"
"Georgetown College","37938","38650 in-state and 38650 out-of-state ","67","0"
"Georgetown University","46703","54104 in-state and 54104 out-of-state ","16","75"
"Georgia College and State University","","9346 in-state and 28060 out-of-state ","79","40"
"Georgia Gwinnett College","7126","6124 in-state and 18552 out-of-state ","88","20"
"Georgia Highlands College","","3844 in-state and 11590 out-of-state ","","30"
"Georgia Institute of Technology","14735","12424 in-state and 33020 out-of-state ","23","75"
"Georgia Military College","","6120 in-state and 6120 out-of-state ","78","35"
"Georgia Northwestern Technical College","","3460 in-state and 6258 out-of-state ","","25"
"Georgia Piedmont Technical College","","3454 in-state and 6124 out-of-state ","","25"
"Georgia Southern University","10636","7422 in-state and 20904 out-of-state ","68","30"
"Georgia Southwestern State University","10198","6336 in-state and 19412 out-of-state ","67","25"
"Georgia State University","12541","10858 in-state and 29432 out-of-state ","52","60"
"Georgian Court University","33169","32876 in-state and 32876 out-of-state ","69","40"
"Germanna Community College","","4913 in-state and 10841 out-of-state ","","0"
"Gettysburg College","40147","54480 in-state and 54480 out-of-state ","46","60"
"Glen Oaks Community College","","4440 in-state and 7350 out-of-state ","","0"
"Glendale Community College","","1451 in-state and 8381 out-of-state ","","0"
"Glenville State College","","7327 in-state and 16565 out-of-state ","63","20"
"Global University","","4770 in-state and 4770 out-of-state ","","40"
"Goddard College","8422","16586 in-state and 16586 out-of-state ","","65"
"Gogebic Community College","","4924 in-state and 7373 out-of-state ","69","10"
"Golden West College","4775","1452 in-state and 9552 out-of-state ","","0"
"Goldey-Beacom College","","24300 in-state and 24300 out-of-state ","","0"
"Goldfarb School of Nursing at Barnes-Jewish College","","21150 in-state and 21150 out-of-state ","","50"
"Golf Academy of America: Phoenix","","17250 in-state and 17250 out-of-state ","","50"
"Golf Academy of America: San Diego","","17250 in-state and 17250 out-of-state ","","100"
"Gonzaga University","27736","43210 in-state and 43210 out-of-state ","65","50"
"Good Samaritan College of Nursing and Health Science","","15959 in-state and 15959 out-of-state ","","0"
"Goodwin College","","20888 in-state and 20888 out-of-state ","97","50"
"Gordon College","27296","37400 in-state and 37400 out-of-state ","89","50"
"Gordon State College","","4292 in-state and 12714 out-of-state ","83","30"
"Goucher College","37562","44300 in-state and 44300 out-of-state ","79","55"
"Governors State University","11833","12196 in-state and 21586 out-of-state ","43","25"
"Grace College","","24768 in-state and 24768 out-of-state ","82","30"
"Graceland University","26960","29240 in-state and 29240 out-of-state ","56","0"
"Grambling State University","","7435 in-state and 16458 out-of-state ","","20"
"Grand Canyon University","","27090 in-state and 27090 out-of-state ","","0"
"Grand Rapids Community College","","","","0"
"Grand Valley State University","10902","12484 in-state and 17762 out-of-state ","81","30"
"Grand View University","24649","27608 in-state and 27608 out-of-state ","93","0"
"Grantham University","","6540 in-state and 6540 out-of-state ","","0"
"Gratz College","","17630 in-state and 17630 out-of-state ","","50"
"Grays Harbor College","","4620 in-state and 5043 out-of-state ","","0"
"Grayson College","5428","3600 in-state and 6120 out-of-state ","","0"
"Great Basin College","","","","10"
"Great Bay Community College","","7200 in-state and 15450 out-of-state ","","20"
"Great Falls College Montana State University","8288","3386 in-state and 10278 out-of-state ","86","30"
"Great Lakes Christian College","","17220 in-state and 17220 out-of-state ","","30"
"Green Mountain College","35224","37002 in-state and 37002 out-of-state ","78","0"
"Green River College","","4581 in-state and 4581 out-of-state ","","20"
"Greenfield Community College","","6932 in-state and 14582 out-of-state ","","0"
"Greenville Technical College","","5580 in-state and 11100 out-of-state ","100","0"
"Grinnell College","47058","52392 in-state and 52392 out-of-state ","29","0"
"Grossmont College","","1418 in-state and 9158 out-of-state ","","0"
"Grove City College","7989","17930 in-state and 17930 out-of-state ","80","50"
"Guilford College","29257","38250 in-state and 38250 out-of-state ","91","0"
"Gupton Jones College of Funeral Service","","11750 in-state and 11750 out-of-state ","","50"
"Gustavus Adolphus College","38506","45400 in-state and 45400 out-of-state ","68","0"
"Gutenberg College","","13650 in-state and 13650 out-of-state ","","25"
"Gwinnett College","","9850 in-state and 9850 out-of-state ","","0"
"Gwinnett Technical College","","3506 in-state and 6176 out-of-state ","","25"
"Gwynedd Mercy University","26574","35600 in-state and 35600 out-of-state ","94","0"
"Hagerstown Community College","5185","4050 in-state and 7920 out-of-state ","","0"
"Halifax Community College","","2452 in-state and 8212 out-of-state ","100","0"
"Hallmark University",""," in-state  out-of-state ","","110"
"Hamilton College","46050","54620 in-state and 54620 out-of-state ","24","60"
"Hamilton Technical College",""," in-state  out-of-state ","","0"
"Hamline University","32000","41298 in-state and 41298 out-of-state ","69","0"
"Hampden-Sydney College","33456","45746 in-state and 45746 out-of-state ","55","30"
"Hampshire College","","51668 in-state and 51668 out-of-state ","","0"
"Hampton University","5975","26702 in-state and 26702 out-of-state ","36","35"
"Hannibal-LaGrange University","","22750 in-state and 22750 out-of-state ","","25"
"Hanover College","29008","37670 in-state and 37670 out-of-state ","84","0"
"Harding University","12898","20135 in-state and 20135 out-of-state ","77","50"
"Hardin-Simmons University","24488","28990 in-state and 28990 out-of-state ","82","0"
"Harford Community College","","4644 in-state and 10075 out-of-state ","","0"
"Harper College","5099","4578 in-state and 14553 out-of-state ","","25"
"Harrisburg Area Community College","","6683 in-state and 9135 out-of-state ","100","35"
"Harrison College: Grove City",""," in-state  out-of-state ","","0"
"Harrison College: Indianapolis",""," in-state  out-of-state ","","0"
"Harris-Stowe State University","11146","5340 in-state and 9973 out-of-state ","40","20"
"Hartnell College","","1400 in-state and 8870 out-of-state ","","0"
"Hartwick College","34968","45510 in-state and 45510 out-of-state ","89","0"
"Harvard College","55354","50420 in-state and 50420 out-of-state ","5","75"
"Harvey Mudd College","42654","56876 in-state and 56876 out-of-state ","15","70"
"Haskell Indian Nations University","","","82","10"
"Hastings College","","30050 in-state and 30050 out-of-state ","","0"
"Haverford College","49905","54592 in-state and 54592 out-of-state ","20","65"
"Hawaii Pacific University","16446","25980 in-state and 25980 out-of-state ","75","50"
"Hawaii Tokai International College","","13485 in-state and 13485 out-of-state ","","50"
"Hawkeye Community College","","6360 in-state and 6600 out-of-state ","92","0"
"Haywood Community College","","2383 in-state and 8143 out-of-state ","","0"
"Hazard Community and Technical College","","5310 in-state and 18000 out-of-state ","","0"
"Heartland Community College","","4590 in-state and 13110 out-of-state ","","0"
"Hebrew Theological College","","12920 in-state and 12920 out-of-state ","","100"
"Heidelberg University","24888","31000 in-state and 31000 out-of-state ","","0"
"Helena College University of Montana","","3349 in-state and 9083 out-of-state ","","30"
"Helene Fuld College of Nursing","","21286 in-state and 21286 out-of-state ","","110"
"Hellenic College/Holy Cross","16200","22490 in-state and 22490 out-of-state ","","0"
"Henderson Community College","","5550 in-state and 18000 out-of-state ","","0"
"Henderson State University","9279","8436 in-state and 10086 out-of-state ","80","0"
"Hendrix College","41885","45790 in-state and 45790 out-of-state ","80","40"
"Hennepin Technical College","","5119 in-state and 5119 out-of-state ","97","0"
"Henry Ford College","","3850 in-state and 8380 out-of-state ","","0"
"Heritage Christian University","","12312 in-state and 12312 out-of-state ","","25"
"Heritage University","19093","18124 in-state and 18124 out-of-state ","55","0"
"Herkimer County Community College","","","86","0"
"Herzing University: Atlanta",""," in-state  out-of-state ","","0"
"Herzing University: Madison",""," in-state  out-of-state ","","0"
"Hesston College","22763","27690 in-state and 27690 out-of-state ","55","0"
"Hibbing Community College","","5336 in-state and 5336 out-of-state ","","20"
"High Point University","15623","35118 in-state and 35118 out-of-state ","81","50"
"Highland Community College","5782","5220 in-state and 8160 out-of-state ","100","0"
"Highline College","","4027 in-state and 4461 out-of-state ","","24"
"Hilbert College","16942","22400 in-state and 22400 out-of-state ","87","25"
"Hill College","","2970 in-state and 4120 out-of-state ","","0"
"Hillsborough Community College","","3132 in-state and 11388 out-of-state ","","0"
"Hillsdale College","19899","27577 in-state and 27577 out-of-state ","41","35"
"Hinds Community College","","3130 in-state and 6170 out-of-state ","","0"
"Hiram College","","34300 in-state and 34300 out-of-state ","64","25"
"Hiwassee College","","19571 in-state and 19571 out-of-state ","64","25"
"Hobe Sound Bible College","","6490 in-state and 6490 out-of-state ","","25"
"Hodges University","9275","17600 in-state and 17600 out-of-state ","","20"
"Hofstra University","30900","46760 in-state and 46760 out-of-state ","64","70"
"Holmes Community College","","3110 in-state and 5690 out-of-state ","","0"
"Holy Apostles College and Seminary","","","","50"
"Holy Cross College","15400","30820 in-state and 30820 out-of-state ","","0"
"Holy Family University","25350","30346 in-state and 30346 out-of-state ","71","25"
"Holy Names University","33987","39316 in-state and 39316 out-of-state ","53","20"
"Holy Trinity Orthodox Seminary","","7700 in-state and 7700 out-of-state ","","0"
"Holyoke Community College","","","88","0"
"Hondros College","","18489 in-state and 18489 out-of-state ","","25"
"Hood College","34658","39492 in-state and 39492 out-of-state ","81","0"
"Hope College","28043","34010 in-state and 34010 out-of-state ","76","35"
"Hope International University","13008","33400 in-state and 33400 out-of-state ","28","40"
"Hopkinsville Community College","","","","0"
"Horry-Georgetown Technical College","","5248 in-state and 10408 out-of-state ","","30"
"Houghton College","","32488 in-state and 32488 out-of-state ","91","40"
"Housatonic Community College","","4394 in-state and 13162 out-of-state ","","20"
"Houston Baptist University","27336","32530 in-state and 32530 out-of-state ","69","0"
"Houston Community College System","5760","2031 in-state and 4686 out-of-state ","","0"
"Howard College","","2560 in-state and 5420 out-of-state ","","0"
"Howard Community College","","4920 in-state and 9060 out-of-state ","83","25"
"Howard Payne University","19567","28090 in-state and 28090 out-of-state ","59","0"
"Howard University","","","41","45"
"Howell College of Cosmetology","","","","0"
"Hudson County Community College","5003","5718 in-state and 14028 out-of-state ","","25"
"Hudson Valley Community College","","5640 in-state and 12915 out-of-state ","","30"
"Huertas College","","6635 in-state and 6635 out-of-state ","","10"
"Humacao Community College","5687","5382 in-state and 5382 out-of-state ","70","15"
"Humboldt State University","13687","7676 in-state and 19556 out-of-state ","58","55"
"Humphreys College","","14292 in-state and 14292 out-of-state ","","40"
"Huntingdon College","19451","27400 in-state and 27400 out-of-state ","56","0"
"Huntington College of Health Sciences","8400","6635 in-state and 6635 out-of-state ","","75"
"Huntington Junior College","","7800 in-state and 7800 out-of-state ","","0"
"Huntsville Bible College","","5390 in-state and 5390 out-of-state ","","35"
"Hussian College, School of Art","","21990 in-state and 21990 out-of-state ","","0"
"Husson University","15351","18170 in-state and 18170 out-of-state ","86","40"
"Huston-Tillotson University","13066","14346 in-state and 14346 out-of-state ","30","25"
"Hutchinson Community College","6610","3000 in-state and 4230 out-of-state ","100","0"
"IBMC College: Fort Collins","","13010 in-state and 13010 out-of-state ","95","0"
"ICPR Junior College","","7010 in-state and 7010 out-of-state ","","0"
"Idaho State University","8422","7420 in-state and 22940 out-of-state ","","50"
"Ilisagvik College","","4300 in-state and 4300 out-of-state ","","0"
"Illinois College","29646","33090 in-state and 33090 out-of-state ","55","0"
"Illinois Eastern Community Colleges","","","","0"
"Illinois Eastern Community Colleges: Lincoln Trail College","","3730 in-state and 11008 out-of-state ","","0"
"Illinois Institute of Art: Schaumburg",""," in-state  out-of-state ","","0"
"Illinois Institute of Technology","41478","47296 in-state and 47296 out-of-state ","54","0"
"Illinois State University","10982","14516 in-state and 26040 out-of-state ","89","50"
"Illinois Valley Community College","6927","4015 in-state and 11793 out-of-state ","","0"
"Illinois Wesleyan University","36363","47636 in-state and 47636 out-of-state ","61","0"
"Immaculata University","22600","27350 in-state and 27350 out-of-state ","83","35"
"Imperial Valley College","","1420 in-state and 9010 out-of-state ","","0"
"Independence Community College","","2910 in-state and 3300 out-of-state ","","0"
"Indian River State College","","3115 in-state and 11715 out-of-state ","","0"
"Indiana County Technology Center","","","78","35"
"Indiana Institute of Technology","20059","26900 in-state and 26900 out-of-state ","70","0"
"Indiana State University","11415","9090 in-state and 19836 out-of-state ","85","25"
"Indiana University Bloomington","14159","10681 in-state and 35456 out-of-state ","76","65"
"Indiana University East","8755","7344 in-state and 19400 out-of-state ","70","35"
"Indiana University Kokomo","7844","7344 in-state and 19400 out-of-state ","70","35"
"Indiana University Northwest","8104","7344 in-state and 19400 out-of-state ","74","35"
"Indiana University of Pennsylvania","11469","12979 in-state and 17299 out-of-state ","91","0"
"Indiana University South Bend","8201","7344 in-state and 19400 out-of-state ","78","35"
"Indiana University-Purdue University Indianapolis","11684","9465 in-state and 29821 out-of-state ","80","65"
"Indiana Wesleyan University","30090","25980 in-state and 25980 out-of-state ","72","0"
"Institute of Medical Education","","","","0"
"Institute of Technology - Redding","","","","0"
"IntelliTec College",""," in-state  out-of-state ","","0"
"IntelliTec College: Grand Junction",""," in-state  out-of-state ","","0"
"Inter American University of Puerto Rico: Aguadilla Campus","","6262 in-state and 6262 out-of-state ","57","0"
"Inter American University of Puerto Rico: Arecibo Campus","","6452 in-state and 6452 out-of-state ","","0"
"Inter American University of Puerto Rico: Barranquitas Campus","1538","6262 in-state and 6262 out-of-state ","56","0"
"Inter American University of Puerto Rico: Bayamon Campus","766","5898 in-state and 5898 out-of-state ","62","0"
"Inter American University of Puerto Rico: Fajardo Campus","","5898 in-state and 5898 out-of-state ","88","0"
"Inter American University of Puerto Rico: Guayama Campus","1376","6452 in-state and 6452 out-of-state ","45","0"
"Inter American University of Puerto Rico: Ponce Campus","0","5220 in-state and 5220 out-of-state ","59","0"
"Inter American University of Puerto Rico: San German Campus","1486","5976 in-state and 5976 out-of-state ","69","0"
"Interior Designers Institute",""," in-state  out-of-state ","","100"
"International Baptist College","","11250 in-state and 11250 out-of-state ","","0"
"International College of Broadcasting","","31950 in-state and 31950 out-of-state ","","100"
"Inver Hills Community College","","5332 in-state and 5332 out-of-state ","100","20"
"Iona College","26200","38812 in-state and 38812 out-of-state ","92","50"
"Iowa Central Community College","1196","5490 in-state and 7890 out-of-state ","","0"
"Iowa Lakes Community College","","6058 in-state and 6388 out-of-state ","","0"
"Iowa State University","13195","8988 in-state and 23392 out-of-state ","89","40"
"Iowa Wesleyan College","","30500 in-state and 30500 out-of-state ","","20"
"Iowa Western Community College","","5615 in-state and 5765 out-of-state ","","0"
"IPR College of Creative Arts",""," in-state  out-of-state ","","50"
"Irvine Valley College","","1418 in-state and 9608 out-of-state ","","0"
"Island Drafting and Technical Institute","","16650 in-state and 16650 out-of-state ","","25"
"Isothermal Community College","","2334 in-state and 8094 out-of-state ","","0"
"Itasca Community College","","","","20"
"Itawamba Community College","","3020 in-state and 5220 out-of-state ","","0"
"ITI Technical College",""," in-state  out-of-state ","","0"
"Ivy Tech Community College: Central Indiana","","4368 in-state and 8402 out-of-state ","","0"
"Ivy Tech Community College: Columbus","","4368 in-state and 8402 out-of-state ","","0"
"Ivy Tech Community College: Kokomo","","4368 in-state and 8402 out-of-state ","","0"
"Ivy Tech Community College: Northeast","","4368 in-state and 8402 out-of-state ","","0"
"Ivy Tech Community College: Northwest","","4368 in-state and 8402 out-of-state ","","0"
